id,order_id,paid_at,amount,method,status
73,73,,10594.85,transfer,pending
74,74,,7781.5,transfer,pending
75,75,2024-06-19 17:06:33,11847.85,boleto,paid
76,76,2024-04-23 08:10:13,6329.14,boleto,paid
77,77,2023-10-22 23:41:16,20309.6,pix,paid
78,78,,13160.64,credit_card,failed
79,79,2023-10-13 00:04:01,12496.66,credit_card,paid
80,80,,13279.66,transfer,pending
81,81,2023-10-15 03:09:30,42777.97,credit_card,paid
82,82,2023-11-08 11:08:24,3813.74,credit_card,paid
83,83,2024-03-02 00:56:59,17814.89,boleto,paid
84,84,2024-10-23 13:53:03,11095.62,transfer,paid
85,85,2024-02-13 13:04:21,10625.75,boleto,paid
86,86,2024-01-18 23:20:37,815.34,credit_card,paid
87,87,2023-11-25 04:02:47,11692.46,boleto,paid
88,88,,822.94,pix,refunded
89,89,2024-09-12 10:19:29,11391.39,pix,paid
90,90,2024-07-20 01:10:17,16972.68,transfer,paid
91,91,2023-11-14 00:22:23,9973.29,credit_card,paid
92,92,2023-11-23 05:15:27,5667.4,boleto,paid
93,93,,50913.54,boleto,refunded
94,94,2024-09-14 14:44:38,7158.99,credit_card,paid
95,95,2023-08-03 17:13:33,12217.84,credit_card,paid
96,96,2024-11-11 12:07:15,19849.22,credit_card,paid
97,97,2024-10-11 09:33:12,1952.29,credit_card,paid
98,98,,8117.27,credit_card,refunded
99,99,2023-10-17 00:31:48,6713.17,pix,paid
100,100,2024-07-15 18:34:02,20045.19,credit_card,paid
101,101,2024-08-16 19:51:47,16143.09,transfer,paid
102,102,2023-09-05 19:40:00,7259.58,pix,paid
103,103,2024-03-21 13:49:48,5099.8,credit_card,paid
104,104,2023-12-09 16:59:27,29408.71,pix,paid
105,105,,41069.84,pix,refunded
106,106,2024-05-19 22:18:51,30546.15,credit_card,paid
107,107,2023-12-19 01:34:36,7250.58,credit_card,paid
108,108,2023-11-15 18:34:41,7905.43,credit_card,paid
109,109,2024-03-03 14:48:55,26707.75,credit_card,paid
110,110,2023-11-25 14:00:46,38625.97,pix,paid
111,111,2024-08-29 03:50:36,3804.5,pix,paid
112,112,2024-09-05 07:53:59,10533.1,transfer,paid
113,113,2023-09-08 18:23:14,9330.71,transfer,paid
114,114,2024-11-12 07:00:15,13275.87,pix,paid
115,115,2023-08-05 16:40:47,16923.88,boleto,paid
116,116,2023-12-26 18:41:00,13350.83,transfer,paid
117,117,2024-03-26 23:09:07,7748.08,boleto,paid
118,118,2023-10-22 00:25:55,4577.09,transfer,paid
119,119,2024-05-18 17:37:10,23543.76,transfer,paid
120,120,2024-09-17 01:31:57,16349.32,pix,paid
121,121,2023-09-19 10:00:13,20003.3,transfer,paid
122,122,,10297.15,credit_card,failed
123,123,2023-10-12 18:43:04,1097.65,pix,paid
124,124,,47433.04,boleto,refunded
125,125,2024-04-18 18:10:52,25388.29,boleto,paid
126,126,2024-01-15 00:41:22,5179.77,credit_card,paid
127,127,2024-01-24 23:02:20,32135.97,credit_card,paid
128,128,2024-11-11 04:09:59,3034.0,transfer,paid
129,129,2024-03-16 09:35:42,12625.33,credit_card,paid
130,130,2024-04-20 19:18:12,23660.5,credit_card,paid
131,131,2023-08-15 16:57:47,9009.21,transfer,paid
132,132,,25363.88,credit_card,pending
133,133,2023-09-02 00:01:35,246.97,pix,paid
134,134,,12977.3,pix,failed
135,135,2023-11-06 23:05:01,4913.36,pix,paid
136,136,,5138.48,transfer,failed
137,137,2024-10-28 09:01:36,50401.25,boleto,paid
138,138,2024-07-20 18:13:35,1288.71,transfer,paid
139,139,2024-10-16 12:28:38,5988.77,transfer,paid
140,140,2023-12-27 16:51:39,2213.18,transfer,paid
141,141,2024-10-10 20:20:14,17396.48,boleto,paid
142,142,2024-11-11 22:33:06,39160.96,pix,paid
143,143,2024-05-07 14:03:58,9761.68,boleto,paid
144,144,2024-06-28 16:21:16,3378.64,boleto,paid
145,145,2023-11-03 07:25:41,18021.81,credit_card,paid
146,146,2023-09-03 11:07:54,17553.48,pix,paid
147,147,2024-11-18 07:27:13,6696.83,pix,paid
148,148,2024-04-06 18:11:44,4197.77,transfer,paid
149,149,,16413.8,credit_card,refunded
150,150,2024-07-16 15:26:03,23521.65,transfer,paid
151,151,2024-11-10 19:19:53,237.44,boleto,paid
152,152,2023-09-23 17:55:03,10697.45,pix,paid
153,153,2024-09-02 17:30:05,32449.61,boleto,paid
154,154,2024-03-10 16:19:21,32928.7,credit_card,paid
155,155,2024-09-08 21:46:27,49350.4,credit_card,paid
156,156,2024-04-20 17:33:42,10129.51,boleto,paid
157,157,2023-11-02 23:13:36,16351.61,boleto,paid
158,158,2023-08-04 00:58:13,24175.84,credit_card,paid
159,159,2024-05-11 10:29:22,14874.48,boleto,paid
160,160,2024-10-17 15:58:41,9566.65,boleto,paid
161,161,2023-11-17 01:22:38,23761.88,boleto,paid
162,162,2024-11-17 15:51:38,26385.45,boleto,paid
163,163,2024-11-09 09:40:58,21289.77,transfer,paid
164,164,2024-11-29 17:42:47,21527.88,boleto,paid
165,165,2024-11-21 07:17:47,15115.04,transfer,paid
166,166,2023-11-25 06:36:24,13696.02,transfer,paid
167,167,2024-04-14 21:38:03,8894.24,pix,paid
168,168,2024-11-05 08:24:40,22964.84,pix,paid
169,169,,8501.83,credit_card,failed
170,170,2024-10-21 01:02:51,6304.99,transfer,paid
171,171,2024-05-16 03:16:01,1859.28,pix,paid
172,172,2024-08-16 14:24:14,15638.43,credit_card,paid
173,173,2024-09-03 16:09:15,14177.13,transfer,paid
174,174,2024-04-12 04:00:13,7608.39,transfer,paid
175,175,2024-06-27 20:52:38,4084.9,pix,paid
176,176,2023-10-08 04:21:07,2516.31,pix,paid
177,177,2024-09-10 21:52:01,17561.37,pix,paid
178,178,2024-04-28 00:05:08,17885.91,boleto,paid
179,179,2024-07-15 17:30:02,16157.07,transfer,paid
180,180,2024-04-04 21:53:33,14404.18,pix,paid
181,181,2024-10-30 06:00:29,5849.87,credit_card,paid
182,182,2024-01-07 20:32:13,15842.15,credit_card,paid
183,183,2024-08-24 09:55:45,31219.87,pix,paid
184,184,,8215.75,pix,pending
185,185,2023-08-09 06:16:18,20206.68,pix,paid
186,186,,8034.99,transfer,refunded
187,187,2024-11-23 17:45:16,15088.17,pix,paid
188,188,2023-10-20 12:04:37,12706.04,transfer,paid
189,189,2024-01-17 08:12:17,38711.11,boleto,paid
190,190,2024-02-01 15:50:07,25144.72,boleto,paid
191,191,2024-06-02 01:34:33,14068.7,pix,paid
192,192,2024-07-13 23:27:13,12076.89,boleto,paid
193,193,2024-01-15 20:40:14,19682.11,pix,paid
194,194,,8478.62,credit_card,refunded
195,195,2023-12-14 06:55:06,6012.83,pix,paid
196,196,,24486.8,transfer,refunded
197,197,2023-09-02 00:48:54,21155.15,pix,paid
198,198,2024-04-27 10:27:03,16619.59,credit_card,paid
199,199,,5418.54,credit_card,refunded
200,200,2024-11-05 19:21:41,5476.42,boleto,paid
201,201,,16215.94,pix,refunded
202,202,2023-11-10 21:06:04,30863.09,credit_card,paid
203,203,2023-12-19 17:46:34,14577.41,credit_card,paid
204,204,,14141.74,pix,pending
205,205,,17449.11,credit_card,failed
206,206,,17043.45,transfer,failed
207,207,2024-05-08 01:51:42,6855.04,transfer,paid
208,208,2023-11-11 09:08:40,9609.32,pix,paid
209,209,2023-12-03 17:29:21,19412.8,transfer,paid
210,210,2024-03-28 05:22:13,14477.64,boleto,paid
211,211,2023-09-16 12:16:04,13818.47,transfer,paid
212,212,2023-10-16 21:11:44,12902.71,pix,paid
213,213,2024-04-15 09:31:30,3213.33,boleto,paid
214,214,2024-01-03 09:50:51,15429.57,credit_card,paid
215,215,2024-04-18 04:47:16,4894.44,credit_card,paid
216,216,2024-07-07 02:07:21,9928.71,credit_card,paid
217,217,2023-08-21 16:47:30,16717.74,credit_card,paid
218,218,,3043.29,pix,refunded
219,219,,18325.97,pix,failed
220,220,2024-08-13 01:13:27,12871.95,pix,paid
221,221,2024-09-05 21:31:50,27356.58,transfer,paid
222,222,2024-01-14 13:37:44,15415.32,credit_card,paid
223,223,2024-02-19 20:16:18,653.79,pix,paid
224,224,2024-11-06 07:26:19,24983.6,transfer,paid
225,225,2024-08-30 00:51:39,14073.94,transfer,paid
226,226,2023-11-03 11:56:23,19759.27,boleto,paid
227,227,2024-11-05 20:17:14,11837.78,pix,paid
228,228,2024-06-25 19:08:13,35989.5,pix,paid
229,229,2023-11-02 12:04:33,14611.43,credit_card,paid
230,230,2024-10-05 12:36:26,27994.6,credit_card,paid
231,231,2024-11-13 15:17:51,21402.87,pix,paid
232,232,2024-02-07 06:47:40,18445.07,credit_card,paid
233,233,2023-11-27 08:09:27,25977.17,boleto,paid
234,234,2024-06-14 14:49:13,13568.65,pix,paid
235,235,2023-10-16 22:56:56,11184.39,credit_card,paid
236,236,,24189.36,boleto,pending
237,237,2024-02-28 23:06:02,5992.65,credit_card,paid
238,238,,7534.65,transfer,pending
239,239,2024-09-22 21:34:24,23140.44,credit_card,paid
240,240,2024-02-20 18:28:21,36574.07,transfer,paid
241,241,,19546.57,pix,failed
242,242,2023-08-08 02:08:04,13130.08,boleto,paid
243,243,2024-10-26 00:46:01,17506.92,transfer,paid
244,244,2024-07-02 01:45:37,6563.52,boleto,paid
245,245,,11480.92,pix,failed
246,246,2024-06-11 05:14:38,12020.71,transfer,paid
247,247,,5089.59,transfer,refunded
248,248,2024-08-07 13:22:04,9905.9,pix,paid
249,249,2024-08-26 20:19:10,43865.45,transfer,paid
250,250,2024-11-06 20:22:45,9805.76,boleto,paid
251,251,2024-08-08 09:01:16,24812.67,boleto,paid
252,252,2023-12-11 20:43:39,13986.34,boleto,paid
253,253,,13282.02,pix,refunded
254,254,2024-07-14 07:03:41,33872.42,boleto,paid
255,255,2024-06-06 05:56:30,25057.95,credit_card,paid
256,256,2023-09-17 21:59:16,4075.81,credit_card,paid
257,257,,14053.66,boleto,failed
258,258,,38858.34,credit_card,refunded
259,259,2024-11-07 08:42:16,13303.26,transfer,paid
260,260,,31571.63,transfer,refunded
261,261,2024-05-20 20:50:49,14834.21,boleto,paid
262,262,,8608.44,transfer,pending
263,263,2024-10-16 00:50:23,29860.85,credit_card,paid
264,264,2023-11-01 00:32:03,5327.44,transfer,paid
265,265,2024-07-25 06:25:31,16573.67,pix,paid
266,266,2024-05-28 12:55:13,2389.14,credit_card,paid
267,267,,6878.0,credit_card,refunded
268,268,2023-10-06 11:29:28,18216.43,credit_card,paid
269,269,,18174.77,pix,refunded
270,270,2023-08-05 06:23:58,14016.16,pix,paid
271,271,2024-05-30 20:53:51,4051.79,pix,paid
272,272,2024-01-23 13:29:27,53042.38,pix,paid
273,273,2024-05-30 08:34:00,31443.68,transfer,paid
274,274,2024-11-03 19:11:05,6829.7,pix,paid
275,275,,9321.57,credit_card,refunded
276,276,,6827.87,transfer,refunded
277,277,2023-11-16 10:56:32,20531.54,pix,paid
278,278,2024-11-15 19:13:31,7265.37,transfer,paid
279,279,2024-05-12 01:57:42,19347.19,pix,paid
280,280,,587.21,transfer,pending
281,281,,136.77,boleto,failed
282,282,,15395.87,credit_card,refunded
283,283,2024-03-06 18:33:05,7208.35,credit_card,paid
284,284,2024-02-20 10:37:59,15397.02,transfer,paid
285,285,2023-09-17 00:52:27,10628.5,transfer,paid
286,286,,34107.9,pix,refunded
287,287,,21446.02,pix,failed
288,288,2024-03-05 04:28:08,48265.87,boleto,paid
289,289,2024-06-10 21:42:56,21251.68,credit_card,paid
290,290,2023-11-27 00:00:03,18373.49,pix,paid
291,291,2024-02-13 01:53:37,33018.91,pix,paid
292,292,2024-07-11 19:58:36,41763.8,transfer,paid
293,293,2023-08-24 02:41:14,14794.16,boleto,paid
294,294,2024-07-12 12:24:13,498.5,boleto,paid
295,295,2024-04-01 22:23:37,25178.06,transfer,paid
296,296,,2182.97,pix,refunded
297,297,2024-04-27 20:00:21,28696.13,credit_card,paid
298,298,2023-08-23 15:53:45,10823.57,pix,paid
299,299,2024-03-09 14:05:01,5402.28,transfer,paid
300,300,2024-11-22 21:23:44,16840.08,credit_card,paid
301,301,2024-10-22 01:41:46,12123.96,boleto,paid
302,302,2024-08-07 03:15:26,10055.27,credit_card,paid
303,303,,20693.65,boleto,failed
304,304,,2111.79,boleto,refunded
305,305,2023-12-26 00:38:53,27754.93,pix,paid
306,306,,30323.52,boleto,refunded
307,307,2023-08-07 05:04:47,13287.6,pix,paid
308,308,2024-10-14 12:25:47,21779.03,boleto,paid
309,309,2024-05-03 15:52:36,14123.85,boleto,paid
310,310,2024-10-03 03:21:56,9599.35,pix,paid
311,311,,1820.44,boleto,refunded
312,312,2023-10-15 01:06:27,11694.06,credit_card,paid
313,313,2024-11-13 10:01:30,16955.78,credit_card,paid
314,314,2023-09-13 17:09:16,5916.67,credit_card,paid
315,315,2023-11-30 03:29:20,2192.46,transfer,paid
316,316,2023-11-12 14:40:34,41443.05,boleto,paid
317,317,2024-07-07 07:48:49,1980.32,credit_card,paid
318,318,2024-04-18 16:31:24,16001.85,pix,paid
319,319,,20213.39,credit_card,failed
320,320,2024-09-16 18:25:51,6644.79,transfer,paid
321,321,2023-10-04 17:55:46,36134.56,credit_card,paid
322,322,2024-06-03 23:42:54,44865.79,credit_card,paid
323,323,2023-08-08 22:07:30,4488.92,pix,paid
324,324,2023-11-23 13:37:57,14862.68,credit_card,paid
325,325,2024-09-05 06:27:45,36141.54,pix,paid
326,326,2024-05-22 14:40:36,27027.86,boleto,paid
327,327,2023-12-24 03:34:32,22844.42,boleto,paid
328,328,2024-02-25 09:39:39,14121.78,credit_card,paid
329,329,2024-02-26 11:33:50,23094.22,transfer,paid
330,330,2023-09-20 18:15:25,998.7,boleto,paid
331,331,2024-11-23 20:25:13,20057.49,pix,paid
332,332,2023-11-02 07:02:48,5604.7,transfer,paid
333,333,,49010.66,boleto,failed
334,334,,1031.48,transfer,failed
335,335,2024-04-06 00:13:23,22225.46,boleto,paid
336,336,2023-12-29 17:10:21,19671.59,credit_card,paid
337,337,2024-05-05 06:00:40,17004.23,pix,paid
338,338,2023-11-02 12:22:45,11979.16,credit_card,paid
339,339,2023-12-08 13:05:59,29513.61,boleto,paid
340,340,2024-01-14 10:29:50,41884.58,pix,paid
341,341,2023-10-08 17:48:12,11697.22,boleto,paid
342,342,,8399.32,credit_card,refunded
343,343,2024-10-08 10:00:56,15150.72,pix,paid
344,344,2024-02-22 17:09:19,964.94,transfer,paid
345,345,2024-10-15 01:22:31,13584.58,pix,paid
346,346,2024-05-20 15:17:29,2171.53,pix,paid
347,347,2024-08-07 07:15:49,20391.21,credit_card,paid
348,348,2023-11-26 01:11:15,536.01,boleto,paid
349,349,2024-08-30 13:11:25,13686.51,transfer,paid
350,350,2024-05-14 00:22:31,669.55,credit_card,paid
351,351,2024-06-28 18:26:31,5526.63,transfer,paid
352,352,2023-12-23 08:05:30,122.72,boleto,paid
353,353,2023-09-25 23:47:05,9694.6,credit_card,paid
354,354,2024-09-18 14:49:53,20078.51,credit_card,paid
355,355,2024-05-30 04:00:22,23402.06,transfer,paid
356,356,2024-10-19 22:37:23,22052.84,pix,paid
357,357,2023-08-20 10:25:31,20406.64,credit_card,paid
358,358,,4144.1,boleto,pending
359,359,2024-05-28 12:48:56,20831.87,pix,paid
360,360,2024-03-20 23:59:35,18896.1,pix,paid
361,361,2024-03-06 22:08:15,15404.19,boleto,paid
362,362,,33629.8,pix,failed
363,363,,16509.18,credit_card,refunded
364,364,2023-09-08 13:01:01,28650.99,pix,paid
365,365,,2879.95,boleto,refunded
366,366,2023-09-19 06:55:26,23541.29,transfer,paid
367,367,,17617.1,boleto,pending
368,368,2023-10-31 03:00:13,17731.62,pix,paid
369,369,2024-08-01 18:39:45,26027.86,pix,paid
370,370,,14637.42,pix,refunded
371,371,2024-06-05 18:32:35,24900.46,transfer,paid
372,372,2024-03-11 20:17:27,6165.86,transfer,paid
373,373,2024-01-26 23:19:42,17475.33,transfer,paid
374,374,2023-11-12 20:11:00,13403.21,credit_card,paid
375,375,2024-06-13 22:06:17,7452.38,boleto,paid
376,376,,20582.61,pix,refunded
377,377,,18813.6,transfer,failed
378,378,2024-10-26 11:27:41,17689.44,pix,paid
379,379,2023-10-20 15:46:48,19933.48,pix,paid
380,380,2024-07-31 21:47:37,24497.51,transfer,paid
381,381,2023-11-24 01:20:52,26777.9,pix,paid
382,382,2023-09-29 10:13:40,10104.36,boleto,paid
383,383,2024-11-23 16:23:01,8352.18,credit_card,paid
384,384,2024-08-18 04:49:55,16331.28,boleto,paid
385,385,2024-01-01 18:25:18,4147.78,boleto,paid
386,386,2024-04-14 02:17:42,4761.77,boleto,paid
387,387,2024-02-18 06:53:09,28331.58,transfer,paid
388,388,2023-12-11 14:16:56,2810.31,credit_card,paid
389,389,2024-11-12 17:01:32,14423.09,transfer,paid
390,390,2023-11-30 01:55:28,11371.66,boleto,paid
391,391,2024-04-21 00:23:38,2456.17,pix,paid
392,392,2024-10-21 13:12:30,3382.89,pix,paid
393,393,2023-10-28 06:59:56,24044.07,boleto,paid
394,394,2023-09-17 06:17:19,4556.29,boleto,paid
395,395,2024-08-23 14:11:12,23557.19,transfer,paid
396,396,2024-06-07 08:24:46,17969.34,transfer,paid
397,397,2023-12-29 15:31:16,1579.34,credit_card,paid
398,398,2024-01-17 06:23:35,48305.83,transfer,paid
399,399,2024-09-14 16:07:13,11379.29,transfer,paid
400,400,2024-01-18 19:47:49,25048.4,boleto,paid
401,401,2023-09-06 19:12:20,17170.47,credit_card,paid
402,402,2024-06-22 00:46:37,30062.4,pix,paid
403,403,2024-01-09 07:12:05,25658.6,pix,paid
404,404,2024-02-11 00:55:34,2977.49,pix,paid
405,405,2024-11-16 14:21:58,13254.04,boleto,paid
406,406,2023-12-24 21:51:22,17469.47,pix,paid
407,407,2024-08-10 10:19:21,10260.14,boleto,paid
408,408,,22654.32,credit_card,refunded
409,409,2024-06-23 01:42:43,32735.27,transfer,paid
410,410,2024-06-07 17:37:47,19645.79,transfer,paid
411,411,2024-01-23 00:38:04,9071.93,boleto,paid
412,412,2024-11-22 22:05:57,7579.55,credit_card,paid
413,413,,9465.16,credit_card,refunded
414,414,2024-11-17 00:50:10,21830.25,boleto,paid
415,415,2024-04-02 15:21:30,3381.48,pix,paid
416,416,,17930.32,transfer,refunded
417,417,,7648.91,credit_card,failed
418,418,2024-06-19 12:41:27,26412.49,boleto,paid
419,419,2024-07-07 02:02:11,16469.49,boleto,paid
420,420,2024-02-12 20:49:56,574.54,transfer,paid
421,421,2024-10-09 05:32:42,25064.71,credit_card,paid
422,422,2024-01-31 15:42:55,9694.06,pix,paid
423,423,2024-03-14 01:24:13,10996.19,credit_card,paid
424,424,2024-03-12 03:49:35,1675.48,boleto,paid
425,425,2023-12-23 08:34:18,44910.63,transfer,paid
426,426,2024-03-25 22:43:00,3069.53,credit_card,paid
427,427,2024-08-26 07:36:53,2316.86,transfer,paid
428,428,2023-10-13 22:54:48,7835.84,transfer,paid
429,429,2024-09-16 07:51:55,19885.28,credit_card,paid
430,430,2024-04-16 07:28:04,2823.41,transfer,paid
431,431,2024-02-03 20:19:25,16725.37,pix,paid
432,432,2024-04-03 00:06:07,17180.27,credit_card,paid
433,433,2024-09-02 02:12:37,25038.8,pix,paid
434,434,,32849.13,transfer,failed
435,435,2024-10-24 06:15:05,15274.59,credit_card,paid
436,436,2024-11-05 21:22:09,7756.38,boleto,paid
437,437,2024-11-22 00:46:33,35611.36,boleto,paid
438,438,2023-10-26 16:12:27,39665.9,credit_card,paid
439,439,2024-07-18 16:09:15,34528.42,pix,paid
440,440,2023-10-23 02:49:17,4351.27,pix,paid
441,441,2024-07-04 11:07:39,11728.77,pix,paid
442,442,2023-12-10 12:41:17,37432.79,transfer,paid
443,443,2024-07-26 14:00:09,17243.93,credit_card,paid
444,444,2024-10-20 01:32:05,7654.59,credit_card,paid
445,445,2023-09-03 14:17:35,3022.3,pix,paid
446,446,,6523.79,boleto,failed
447,447,2024-11-30 15:15:16,5430.67,credit_card,paid
448,448,2024-05-26 18:28:00,16473.96,pix,paid
449,449,2023-12-21 08:20:03,12310.02,transfer,paid
450,450,2024-09-09 23:37:05,592.91,boleto,paid
451,451,2023-10-22 08:25:01,35500.98,boleto,paid
452,452,2024-10-09 05:11:33,16547.97,boleto,paid
453,453,2024-07-19 22:53:38,4300.11,boleto,paid
454,454,2024-10-22 13:11:53,22633.2,boleto,paid
455,455,2024-10-18 07:22:39,12843.89,boleto,paid
456,456,2024-02-28 00:07:34,20347.94,credit_card,paid
457,457,2023-11-02 07:34:19,42562.72,pix,paid
458,458,2024-09-02 14:47:57,3924.64,credit_card,paid
459,459,2023-08-12 13:12:13,13467.37,pix,paid
460,460,2023-09-23 05:15:28,14573.28,boleto,paid
461,461,2024-11-03 08:34:24,9476.49,pix,paid
462,462,2024-03-03 06:32:46,32672.02,transfer,paid
463,463,2024-08-22 01:16:34,12916.79,credit_card,paid
464,464,2023-09-09 13:00:26,4211.87,pix,paid
465,465,,12513.5,credit_card,refunded
466,466,2023-08-24 13:42:28,995.15,transfer,paid
467,467,2023-08-21 12:36:59,12092.7,credit_card,paid
468,468,2024-08-21 11:55:10,775.52,pix,paid
469,469,,30704.99,credit_card,pending
470,470,,1949.87,boleto,refunded
471,471,2024-11-01 02:46:02,19914.51,pix,paid
472,472,,18184.2,credit_card,failed
473,473,2023-11-14 05:45:28,6985.92,boleto,paid
474,474,2024-04-05 19:03:52,51780.39,credit_card,paid
475,475,2023-09-16 16:52:37,17148.72,boleto,paid
476,476,2024-10-18 03:26:32,14795.39,boleto,paid
477,477,2024-02-27 07:58:33,7416.79,credit_card,paid
478,478,2023-08-09 05:20:58,4491.63,boleto,paid
479,479,,34618.12,boleto,refunded
480,480,2023-11-04 16:31:58,1548.45,credit_card,paid
481,481,2024-02-01 04:31:29,5397.92,credit_card,paid
482,482,2024-10-22 14:13:20,10419.6,pix,paid
483,483,2024-02-18 06:42:54,9673.45,pix,paid
484,484,2023-10-16 07:07:47,11609.69,pix,paid
485,485,,3655.22,pix,refunded
486,486,2024-05-09 20:09:41,7410.39,credit_card,paid
487,487,2024-10-27 21:21:11,19833.38,boleto,paid
488,488,2023-11-16 21:16:14,22753.83,boleto,paid
489,489,2023-11-16 08:09:52,5101.52,pix,paid
490,490,2023-10-14 19:08:32,23404.22,transfer,paid
491,491,2023-12-13 07:57:35,4844.94,pix,paid
492,492,2023-12-17 07:47:45,22407.96,transfer,paid
493,493,2024-09-17 23:45:11,31265.12,credit_card,paid
494,494,2024-03-25 23:12:54,6352.72,boleto,paid
495,495,2024-03-30 02:33:25,3836.18,pix,paid
496,496,2024-04-05 01:09:33,50690.76,transfer,paid
497,497,2023-09-30 07:42:40,22049.05,credit_card,paid
498,498,2024-03-23 02:19:55,48943.59,transfer,paid
499,499,2024-03-03 16:41:53,18269.65,pix,paid
500,500,2024-03-12 21:23:32,10566.94,pix,paid
501,501,,37412.23,pix,refunded
502,502,2023-09-17 04:39:52,10968.21,boleto,paid
503,503,2024-03-04 08:25:55,1834.03,pix,paid
504,504,2024-08-20 22:13:51,27661.31,credit_card,paid
505,505,2024-02-17 21:22:31,7278.19,credit_card,paid
506,506,2024-05-11 07:43:42,18704.65,transfer,paid
507,507,2024-07-30 12:11:16,1388.23,boleto,paid
508,508,2024-11-21 17:02:47,15250.27,boleto,paid
509,509,2023-11-04 07:24:59,8496.05,boleto,paid
510,510,2024-05-01 20:51:14,1785.35,transfer,paid
511,511,,6752.92,pix,refunded
512,512,2024-05-25 07:57:00,27647.74,transfer,paid
513,513,,9304.92,boleto,failed
514,514,2024-09-11 14:29:37,24189.72,transfer,paid
515,515,2023-09-28 18:32:15,26657.96,credit_card,paid
