id,name,category,seller_id,active,unit_cost
134,Produto Congelados Linha 134,Snacks,52,1,112.01
135,Produto Congelados Linha 135,Carnes,103,1,35.69
136,Produto Higiene Linha 136,Grãos,88,1,64.59
137,Produto Congelados Linha 137,Higiene,98,0,86.05
138,Produto Congelados Linha 138,Snacks,23,1,63.25
139,Produto Carnes Linha 139,Bebidas,48,1,57.57
140,Produto Enlatados Linha 140,Grãos,109,1,194.5
141,Produto Snacks Linha 141,Carnes,40,1,32.37
142,Produto Laticínios Linha 142,Congelados,6,1,147.2
143,Produto Padaria Linha 143,Bebidas,38,1,2.08
144,Produto Laticínios Linha 144,Laticínios,41,1,120.04
145,Produto Laticínios Linha 145,Carnes,100,1,183.36
146,Produto Snacks Linha 146,Padaria,27,1,59.01
147,Produto Enlatados Linha 147,Higiene,75,1,38.73
148,Produto Higiene Linha 148,Carnes,69,1,131.03
149,Produto Carnes Linha 149,Congelados,57,1,143.1
150,Produto Limpeza Linha 150,Snacks,17,1,138.23
151,Produto Congelados Linha 151,Padaria,116,1,65.22
152,Produto Limpeza Linha 152,Laticínios,71,0,51.94
153,Produto Enlatados Linha 153,Laticínios,91,1,191.27
154,Produto Carnes Linha 154,Padaria,47,0,184.81
155,Produto Enlatados Linha 155,Carnes,79,1,92.55
156,Produto Laticínios Linha 156,Limpeza,110,0,169.55
157,Produto Higiene Linha 157,Padaria,13,1,91.56
158,Produto Snacks Linha 158,Carnes,11,0,86.03
159,Produto Snacks Linha 159,Enlatados,109,1,33.04
160,Produto Laticínios Linha 160,Snacks,90,1,86.43
161,Produto Limpeza Linha 161,Higiene,86,0,108.41
162,Produto Padaria Linha 162,Snacks,92,1,6.46
163,Produto Grãos Linha 163,Enlatados,24,1,89.93
164,Produto Bebidas Linha 164,Congelados,93,1,156.71
165,Produto Padaria Linha 165,Higiene,73,0,136.65
166,Produto Congelados Linha 166,Padaria,106,1,127.76
167,Produto Carnes Linha 167,Enlatados,4,1,182.09
168,Produto Higiene Linha 168,Higiene,113,1,5.57
169,Produto Bebidas Linha 169,Limpeza,46,1,112.3
170,Produto Grãos Linha 170,Padaria,120,1,157.9
171,Produto Padaria Linha 171,Congelados,18,1,109.18
172,Produto Padaria Linha 172,Bebidas,43,1,66.13
173,Produto Padaria Linha 173,Higiene,80,0,28.98
174,Produto Padaria Linha 174,Higiene,33,1,177.74
175,Produto Grãos Linha 175,Carnes,93,1,95.21
176,Produto Padaria Linha 176,Laticínios,103,1,175.87
177,Produto Carnes Linha 177,Bebidas,10,1,118.0
178,Produto Bebidas Linha 178,Laticínios,73,1,135.49
179,Produto Higiene Linha 179,Grãos,59,1,161.24
180,Produto Padaria Linha 180,Limpeza,31,1,132.51
181,Produto Bebidas Linha 181,Bebidas,28,1,80.81
182,Produto Snacks Linha 182,Snacks,60,1,103.7
183,Produto Grãos Linha 183,Enlatados,3,1,161.0
184,Produto Grãos Linha 184,Laticínios,118,1,75.98
185,Produto Enlatados Linha 185,Grãos,55,1,78.85
186,Produto Congelados Linha 186,Bebidas,14,1,20.95
187,Produto Congelados Linha 187,Laticínios,58,1,183.09
188,Produto Snacks Linha 188,Limpeza,89,1,20.03
189,Produto Padaria Linha 189,Snacks,15,1,130.35
190,Produto Enlatados Linha 190,Limpeza,2,1,83.81
191,Produto Carnes Linha 191,Snacks,24,1,82.31
192,Produto Congelados Linha 192,Laticínios,78,1,136.55
193,Produto Snacks Linha 193,Snacks,64,1,15.28
194,Produto Enlatados Linha 194,Higiene,112,1,119.55
195,Produto Snacks Linha 195,Limpeza,71,1,154.86
196,Produto Enlatados Linha 196,Grãos,100,1,165.99
197,Produto Higiene Linha 197,Limpeza,114,1,35.77
198,Produto Limpeza Linha 198,Grãos,24,1,179.69
199,Produto Higiene Linha 199,Limpeza,27,1,131.92
200,Produto Enlatados Linha 200,Grãos,37,1,176.61
201,Produto Limpeza Linha 201,Higiene,102,1,98.09
202,Produto Limpeza Linha 202,Grãos,94,1,109.32
203,Produto Padaria Linha 203,Limpeza,91,1,183.97
204,Produto Limpeza Linha 204,Congelados,39,1,180.18
205,Produto Congelados Linha 205,Padaria,63,1,90.74
206,Produto Limpeza Linha 206,Padaria,79,1,56.33
207,Produto Laticínios Linha 207,Snacks,26,1,79.85
208,Produto Carnes Linha 208,Carnes,65,1,78.78
209,Produto Limpeza Linha 209,Bebidas,120,1,58.8
210,Produto Padaria Linha 210,Limpeza,4,1,55.18
211,Produto Congelados Linha 211,Enlatados,29,1,172.49
212,Produto Snacks Linha 212,Grãos,1,1,15.83
213,Produto Carnes Linha 213,Grãos,107,1,136.17
214,Produto Laticínios Linha 214,Limpeza,50,1,36.22
215,Produto Congelados Linha 215,Enlatados,110,1,70.21
216,Produto Grãos Linha 216,Grãos,86,1,14.19
217,Produto Congelados Linha 217,Grãos,11,1,55.45
218,Produto Limpeza Linha 218,Grãos,74,1,154.15
219,Produto Laticínios Linha 219,Carnes,59,1,177.23
220,Produto Snacks Linha 220,Carnes,62,1,45.86
221,Produto Padaria Linha 221,Enlatados,81,0,93.78
222,Produto Limpeza Linha 222,Enlatados,36,1,95.12
223,Produto Congelados Linha 223,Bebidas,56,1,174.97
224,Produto Padaria Linha 224,Carnes,111,0,153.03
225,Produto Grãos Linha 225,Limpeza,90,1,103.59
226,Produto Higiene Linha 226,Enlatados,112,1,134.81
227,Produto Snacks Linha 227,Carnes,21,1,169.78
228,Produto Bebidas Linha 228,Enlatados,13,1,3.89
229,Produto Grãos Linha 229,Limpeza,9,1,81.77
230,Produto Snacks Linha 230,Bebidas,11,1,181.63
231,Produto Grãos Linha 231,Enlatados,75,1,148.58
232,Produto Grãos Linha 232,Carnes,70,1,109.48
233,Produto Snacks Linha 233,Carnes,1,0,106.87
234,Produto Enlatados Linha 234,Snacks,118,1,70.86
235,Produto Laticínios Linha 235,Carnes,70,1,105.06
236,Produto Carnes Linha 236,Padaria,77,1,131.77
237,Produto Bebidas Linha 237,Laticínios,86,1,84.84
238,Produto Congelados Linha 238,Bebidas,56,1,143.4
239,Produto Grãos Linha 239,Enlatados,31,0,172.52
240,Produto Congelados Linha 240,Grãos,86,1,32.63
241,Produto Bebidas Linha 241,Carnes,37,1,91.41
242,Produto Limpeza Linha 242,Higiene,47,1,82.79
243,Produto Grãos Linha 243,Limpeza,91,1,138.12
244,Produto Carnes Linha 244,Padaria,114,1,51.47
245,Produto Laticínios Linha 245,Bebidas,116,1,128.77
246,Produto Limpeza Linha 246,Grãos,78,1,175.74
247,Produto Laticínios Linha 247,Enlatados,47,1,84.79
248,Produto Higiene Linha 248,Carnes,69,1,182.38
249,Produto Snacks Linha 249,Higiene,58,1,198.65
250,Produto Higiene Linha 250,Congelados,36,1,23.01
251,Produto Bebidas Linha 251,Higiene,32,1,48.14
252,Produto Snacks Linha 252,Padaria,98,1,190.18
253,Produto Grãos Linha 253,Padaria,64,1,191.75
254,Produto Enlatados Linha 254,Grãos,71,0,21.35
255,Produto Carnes Linha 255,Snacks,42,0,4.97
256,Produto Enlatados Linha 256,Grãos,48,1,33.9
257,Produto Padaria Linha 257,Enlatados,74,1,199.21
258,Produto Grãos Linha 258,Enlatados,114,1,37.64
259,Produto Higiene Linha 259,Carnes,81,1,101.5
260,Produto Congelados Linha 260,Grãos,30,1,169.99
261,Produto Higiene Linha 261,Bebidas,21,1,6.04
262,Produto Limpeza Linha 262,Limpeza,60,1,121.69
263,Produto Padaria Linha 263,Laticínios,13,0,56.85
264,Produto Snacks Linha 264,Laticínios,1,1,172.74
265,Produto Congelados Linha 265,Limpeza,65,1,58.13
266,Produto Enlatados Linha 266,Grãos,111,1,137.98
267,Produto Carnes Linha 267,Snacks,33,1,135.5
268,Produto Congelados Linha 268,Higiene,38,1,45.86
269,Produto Snacks Linha 269,Carnes,25,1,8.89
270,Produto Limpeza Linha 270,Padaria,26,1,83.03
271,Produto Bebidas Linha 271,Congelados,77,1,59.26
272,Produto Snacks Linha 272,Grãos,59,1,162.18
273,Produto Bebidas Linha 273,Padaria,92,1,160.47
274,Produto Limpeza Linha 274,Enlatados,33,1,92.49
275,Produto Snacks Linha 275,Grãos,101,1,122.09
276,Produto Laticínios Linha 276,Bebidas,41,1,121.64
277,Produto Laticínios Linha 277,Higiene,30,1,165.78
278,Produto Snacks Linha 278,Carnes,57,1,86.15
279,Produto Laticínios Linha 279,Limpeza,49,1,56.54
280,Produto Congelados Linha 280,Higiene,48,1,54.48
281,Produto Enlatados Linha 281,Snacks,72,1,108.17
282,Produto Carnes Linha 282,Enlatados,49,1,90.93
283,Produto Padaria Linha 283,Snacks,47,1,89.14
284,Produto Padaria Linha 284,Laticínios,56,1,20.05
285,Produto Snacks Linha 285,Snacks,65,1,144.28
286,Produto Carnes Linha 286,Carnes,12,1,44.32
287,Produto Carnes Linha 287,Congelados,69,1,41.0
288,Produto Bebidas Linha 288,Higiene,88,1,83.73
289,Produto Grãos Linha 289,Limpeza,6,1,47.1
290,Produto Laticínios Linha 290,Limpeza,89,1,117.6
291,Produto Limpeza Linha 291,Carnes,65,1,75.55
292,Produto Laticínios Linha 292,Limpeza,25,1,90.88
293,Produto Laticínios Linha 293,Snacks,1,1,108.36
294,Produto Enlatados Linha 294,Grãos,32,1,42.3
295,Produto Snacks Linha 295,Laticínios,106,1,32.84
296,Produto Enlatados Linha 296,Bebidas,106,1,176.32
297,Produto Enlatados Linha 297,Grãos,3,1,87.88
298,Produto Enlatados Linha 298,Limpeza,49,1,83.59
299,Produto Grãos Linha 299,Enlatados,19,1,9.05
300,Produto Carnes Linha 300,Padaria,60,1,100.6
301,Produto Limpeza Linha 301,Padaria,107,1,111.73
302,Produto Carnes Linha 302,Limpeza,29,0,112.65
303,Produto Laticínios Linha 303,Padaria,50,1,141.99
304,Produto Higiene Linha 304,Limpeza,2,1,37.14
305,Produto Limpeza Linha 305,Grãos,73,1,51.94
306,Produto Carnes Linha 306,Higiene,56,1,162.52
307,Produto Enlatados Linha 307,Congelados,17,1,189.54
308,Produto Higiene Linha 308,Limpeza,60,1,28.91
309,Produto Grãos Linha 309,Snacks,110,0,100.53
310,Produto Laticínios Linha 310,Limpeza,36,1,44.41
311,Produto Carnes Linha 311,Padaria,61,1,13.89
312,Produto Higiene Linha 312,Carnes,17,1,66.45
313,Produto Enlatados Linha 313,Limpeza,49,1,30.45
314,Produto Padaria Linha 314,Snacks,76,1,142.57
315,Produto Padaria Linha 315,Padaria,60,1,107.68
316,Produto Limpeza Linha 316,Snacks,20,1,30.48
317,Produto Laticínios Linha 317,Snacks,50,1,3.83
318,Produto Limpeza Linha 318,Padaria,3,1,162.02
319,Produto Grãos Linha 319,Padaria,43,1,36.89
320,Produto Laticínios Linha 320,Grãos,57,1,122.03
321,Produto Congelados Linha 321,Snacks,50,1,68.71
322,Produto Higiene Linha 322,Grãos,68,1,117.93
323,Produto Bebidas Linha 323,Bebidas,81,1,64.5
324,Produto Snacks Linha 324,Limpeza,50,1,19.21
325,Produto Bebidas Linha 325,Congelados,37,1,46.14
326,Produto Congelados Linha 326,Laticínios,46,1,39.24
327,Produto Bebidas Linha 327,Enlatados,42,1,86.75
328,Produto Limpeza Linha 328,Carnes,15,1,132.34
329,Produto Laticínios Linha 329,Snacks,33,1,54.23
330,Produto Carnes Linha 330,Limpeza,80,1,4.39
331,Produto Bebidas Linha 331,Laticínios,11,1,104.75
332,Produto Congelados Linha 332,Congelados,119,1,121.94
333,Produto Bebidas Linha 333,Grãos,20,1,192.65
334,Produto Bebidas Linha 334,Grãos,102,1,118.72
335,Produto Limpeza Linha 335,Snacks,24,1,95.29
336,Produto Enlatados Linha 336,Higiene,64,1,115.53
337,Produto Higiene Linha 337,Laticínios,118,1,185.72
338,Produto Bebidas Linha 338,Grãos,80,1,166.02
339,Produto Snacks Linha 339,Enlatados,94,1,65.95
340,Produto Snacks Linha 340,Padaria,98,1,48.98
341,Produto Limpeza Linha 341,Higiene,65,1,54.0
342,Produto Laticínios Linha 342,Carnes,88,0,101.88
343,Produto Carnes Linha 343,Limpeza,88,1,149.32
344,Produto Padaria Linha 344,Bebidas,73,1,101.64
345,Produto Snacks Linha 345,Grãos,86,1,15.42
346,Produto Grãos Linha 346,Padaria,76,1,145.27
347,Produto Carnes Linha 347,Padaria,17,1,161.58
348,Produto Congelados Linha 348,Bebidas,89,1,59.32
349,Produto Padaria Linha 349,Limpeza,92,1,133.5
350,Produto Limpeza Linha 350,Limpeza,61,1,86.47
351,Produto Laticínios Linha 351,Snacks,15,1,178.05
352,Produto Carnes Linha 352,Grãos,94,1,169.35
353,Produto Snacks Linha 353,Congelados,51,1,106.04
354,Produto Limpeza Linha 354,Carnes,27,1,138.92
355,Produto Snacks Linha 355,Higiene,86,1,176.9
356,Produto Carnes Linha 356,Limpeza,74,1,100.15
357,Produto Grãos Linha 357,Grãos,61,1,64.02
358,Produto Carnes Linha 358,Limpeza,58,1,151.23
359,Produto Congelados Linha 359,Snacks,31,1,45.57
360,Produto Carnes Linha 360,Congelados,91,1,78.93
361,Produto Grãos Linha 361,Padaria,12,0,173.41
362,Produto Bebidas Linha 362,Padaria,46,1,145.44
363,Produto Snacks Linha 363,Snacks,31,1,81.95
364,Produto Bebidas Linha 364,Snacks,32,1,44.52
365,Produto Congelados Linha 365,Laticínios,32,1,72.48
366,Produto Laticínios Linha 366,Higiene,105,1,58.25
367,Produto Higiene Linha 367,Bebidas,109,1,36.87
368,Produto Higiene Linha 368,Padaria,99,1,149.18
369,Produto Laticínios Linha 369,Congelados,53,1,51.91
370,Produto Limpeza Linha 370,Congelados,61,1,91.93
371,Produto Carnes Linha 371,Higiene,46,1,78.4
372,Produto Snacks Linha 372,Padaria,85,1,196.45
373,Produto Congelados Linha 373,Enlatados,74,1,79.44
374,Produto Carnes Linha 374,Enlatados,80,1,17.84
375,Produto Laticínios Linha 375,Bebidas,7,1,19.79
376,Produto Grãos Linha 376,Higiene,4,1,118.97
377,Produto Padaria Linha 377,Higiene,91,1,120.67
378,Produto Snacks Linha 378,Padaria,52,1,84.91
379,Produto Carnes Linha 379,Carnes,119,0,87.51
380,Produto Snacks Linha 380,Higiene,89,1,12.68
381,Produto Limpeza Linha 381,Bebidas,31,1,104.28
382,Produto Grãos Linha 382,Bebidas,75,1,101.94
383,Produto Congelados Linha 383,Enlatados,112,1,31.61
384,Produto Enlatados Linha 384,Laticínios,84,1,22.56
385,Produto Grãos Linha 385,Limpeza,36,0,26.47
386,Produto Laticínios Linha 386,Grãos,54,1,22.0
387,Produto Congelados Linha 387,Carnes,54,0,122.72
388,Produto Laticínios Linha 388,Grãos,119,1,40.9
389,Produto Limpeza Linha 389,Enlatados,17,1,51.78
390,Produto Padaria Linha 390,Congelados,109,1,36.37
391,Produto Limpeza Linha 391,Carnes,75,1,191.65
392,Produto Carnes Linha 392,Snacks,30,1,171.21
393,Produto Padaria Linha 393,Grãos,99,1,47.64
394,Produto Grãos Linha 394,Limpeza,105,1,66.86
395,Produto Padaria Linha 395,Laticínios,102,1,43.56
396,Produto Enlatados Linha 396,Higiene,22,1,99.39
397,Produto Bebidas Linha 397,Grãos,117,1,5.88
398,Produto Limpeza Linha 398,Higiene,43,1,134.93
399,Produto Bebidas Linha 399,Padaria,112,1,105.59
400,Produto Grãos Linha 400,Snacks,115,1,179.93
401,Produto Snacks Linha 401,Grãos,27,1,34.55
402,Produto Laticínios Linha 402,Higiene,37,1,161.21
403,Produto Congelados Linha 403,Carnes,46,1,158.81
404,Produto Laticínios Linha 404,Snacks,113,1,27.18
405,Produto Limpeza Linha 405,Carnes,35,1,80.91
406,Produto Congelados Linha 406,Limpeza,4,1,35.69
407,Produto Snacks Linha 407,Bebidas,80,0,52.43
408,Produto Snacks Linha 408,Laticínios,80,1,54.12
409,Produto Congelados Linha 409,Bebidas,85,1,112.13
410,Produto Congelados Linha 410,Limpeza,26,0,83.46
411,Produto Enlatados Linha 411,Congelados,100,1,189.65
412,Produto Congelados Linha 412,Grãos,19,1,27.02
413,Produto Padaria Linha 413,Limpeza,81,0,194.79
414,Produto Higiene Linha 414,Carnes,45,1,47.67
415,Produto Limpeza Linha 415,Limpeza,26,1,155.03
416,Produto Carnes Linha 416,Enlatados,22,1,69.12
417,Produto Grãos Linha 417,Congelados,119,1,30.33
418,Produto Padaria Linha 418,Bebidas,58,1,171.86
419,Produto Higiene Linha 419,Enlatados,63,1,63.15
420,Produto Enlatados Linha 420,Limpeza,120,1,132.45
421,Produto Enlatados Linha 421,Enlatados,28,1,114.16
422,Produto Enlatados Linha 422,Carnes,65,1,95.41
423,Produto Enlatados Linha 423,Limpeza,44,1,100.17
424,Produto Laticínios Linha 424,Snacks,100,1,146.98
425,Produto Grãos Linha 425,Bebidas,43,1,19.38
426,Produto Bebidas Linha 426,Higiene,37,1,134.3
427,Produto Grãos Linha 427,Limpeza,66,1,179.37
428,Produto Laticínios Linha 428,Snacks,17,1,13.44
429,Produto Limpeza Linha 429,Snacks,40,1,29.85
430,Produto Congelados Linha 430,Bebidas,38,1,143.89
431,Produto Grãos Linha 431,Congelados,85,1,88.58
432,Produto Snacks Linha 432,Bebidas,61,1,81.9
433,Produto Enlatados Linha 433,Carnes,9,1,29.12
434,Produto Higiene Linha 434,Grãos,77,1,102.34
435,Produto Grãos Linha 435,Laticínios,75,0,27.06
436,Produto Higiene Linha 436,Laticínios,61,1,96.37
437,Produto Bebidas Linha 437,Carnes,80,1,153.2
438,Produto Congelados Linha 438,Carnes,16,1,53.14
439,Produto Bebidas Linha 439,Laticínios,2,1,97.2
440,Produto Padaria Linha 440,Congelados,106,0,198.42
441,Produto Laticínios Linha 441,Carnes,108,1,137.96
442,Produto Higiene Linha 442,Padaria,72,1,168.59
443,Produto Snacks Linha 443,Laticínios,43,1,84.14
444,Produto Snacks Linha 444,Limpeza,42,1,154.04
445,Produto Congelados Linha 445,Limpeza,77,1,10.02
446,Produto Carnes Linha 446,Limpeza,57,1,26.34
447,Produto Limpeza Linha 447,Laticínios,81,1,42.21
448,Produto Bebidas Linha 448,Enlatados,103,1,81.59
449,Produto Congelados Linha 449,Limpeza,88,1,169.46
450,Produto Bebidas Linha 450,Laticínios,67,1,70.56
451,Produto Bebidas Linha 451,Grãos,30,1,131.61
452,Produto Higiene Linha 452,Enlatados,116,1,142.44
453,Produto Enlatados Linha 453,Congelados,13,1,118.06
454,Produto Padaria Linha 454,Bebidas,19,1,72.73
455,Produto Limpeza Linha 455,Congelados,7,1,116.26
456,Produto Congelados Linha 456,Enlatados,9,1,69.77
457,Produto Bebidas Linha 457,Enlatados,83,1,18.61
458,Produto Enlatados Linha 458,Carnes,109,1,198.58
459,Produto Congelados Linha 459,Congelados,54,1,27.18
460,Produto Congelados Linha 460,Laticínios,104,1,16.32
461,Produto Carnes Linha 461,Padaria,86,1,175.95
462,Produto Congelados Linha 462,Grãos,82,1,61.76
463,Produto Limpeza Linha 463,Carnes,61,1,130.76
464,Produto Bebidas Linha 464,Laticínios,87,1,67.14
465,Produto Padaria Linha 465,Higiene,2,1,79.51
466,Produto Laticínios Linha 466,Padaria,50,1,53.9
467,Produto Grãos Linha 467,Padaria,114,1,69.92
468,Produto Carnes Linha 468,Bebidas,75,1,83.32
469,Produto Padaria Linha 469,Congelados,31,1,144.64
470,Produto Limpeza Linha 470,Bebidas,33,1,103.28
471,Produto Laticínios Linha 471,Bebidas,78,1,188.83
472,Produto Padaria Linha 472,Padaria,80,1,10.29
473,Produto Grãos Linha 473,Grãos,11,1,101.61
474,Produto Padaria Linha 474,Bebidas,33,1,117.68
475,Produto Snacks Linha 475,Bebidas,7,1,184.2
476,Produto Snacks Linha 476,Padaria,31,0,11.73
477,Produto Bebidas Linha 477,Padaria,48,0,115.55
478,Produto Bebidas Linha 478,Carnes,110,1,171.02
479,Produto Enlatados Linha 479,Carnes,47,1,49.9
480,Produto Padaria Linha 480,Congelados,78,1,175.51
481,Produto Laticínios Linha 481,Limpeza,92,1,5.77
482,Produto Higiene Linha 482,Limpeza,53,1,147.03
483,Produto Bebidas Linha 483,Enlatados,107,1,186.76
484,Produto Padaria Linha 484,Enlatados,80,1,132.13
