id,name,city,state,segment,created_at
23,Lima & Souza Atacado Mercearia,Belo Horizonte,CE,convenience,2024-06-22 09:45:17
24,Rodrigues & Souza Atacado Mercado,Florianópolis,RN,convenience,2023-11-20 01:12:18
25,Santos & Lima Suprimentos Mercado,Fortaleza,RS,convenience,2024-02-02 14:12:17
26,Costa & Costa Distribuidora Supermercado,Belo Horizonte,MS,minimarket,2023-09-18 09:43:56
27,Oliveira & Souza Grupo Mercearia,Recife,DF,supermarket,2024-05-30 01:21:41
28,Oliveira & Souza Distribuidora Mercado,Brasília,PR,supermarket,2023-02-26 04:48:58
29,Ferreira & Costa Brasil Mercado,Florianópolis,SC,grocery,2023-06-06 12:26:51
30,Silva & Souza Grupo Mercado,Campo Grande,RN,minimarket,2023-11-15 01:38:43
31,Nascimento & Silva Grupo Mercado,Rio de Janeiro,SP,grocery,2023-03-08 15:36:05
32,Silva & Costa Atacado Mercado,Fortaleza,RS,convenience,2023-09-15 22:15:31
33,Ferreira & Almeida Suprimentos Mercado,Rio de Janeiro,RN,supermarket,2023-05-29 13:22:54
34,Souza & Lima Grupo Mercado,João Pessoa,PE,minimarket,2024-05-06 05:16:41
35,Silva & Ferreira Mercado Mercearia,Recife,RJ,grocery,2023-02-21 20:00:44
36,Ferreira & Oliveira Brasil Supermercado,São Paulo,GO,grocery,2023-04-25 12:18:35
37,Nascimento & Almeida Alimentos Mercado,Manaus,DF,grocery,2024-05-20 01:17:38
38,Nascimento & Nascimento Alimentos Supermercado,Belém,BA,supermarket,2023-07-16 06:15:58
39,Ferreira & Oliveira Brasil Supermercado,Natal,SC,supermarket,2024-10-21 14:50:58
40,Silva & Lima Grupo Mercado,Goiânia,SP,supermarket,2023-10-03 04:42:52
41,Souza & Rodrigues Mercado Mercado,Fortaleza,DF,minimarket,2024-03-04 17:55:48
42,Ferreira & Lima Grupo Mercado,Belo Horizonte,BA,supermarket,2024-08-10 22:52:55
43,Santos & Rodrigues Alimentos Mercearia,Florianópolis,RN,minimarket,2024-09-30 12:32:30
44,Almeida & Silva Mercado Supermercado,Vitória,RJ,grocery,2024-08-31 08:41:30
45,Santos & Silva Alimentos Supermercado,Goiânia,PE,grocery,2024-03-02 17:12:14
46,Souza & Silva Comércio Supermercado,Porto Alegre,PE,convenience,2024-10-02 12:53:10
47,Oliveira & Rodrigues Distribuidora Mercearia,Vitória,MT,supermarket,2024-04-28 15:41:38
48,Souza & Rodrigues Atacado Mercado,São Paulo,SC,grocery,2024-08-08 16:18:18
49,Oliveira & Nascimento Distribuidora Supermercado,Recife,SC,supermarket,2023-10-27 05:36:28
50,Lima & Santos Alimentos Mercado,Brasília,MG,minimarket,2023-07-18 21:26:35
51,Nascimento & Ferreira Grupo Mercearia,Natal,RN,grocery,2023-11-23 06:05:01
52,Souza & Santos Suprimentos Supermercado,Brasília,RN,supermarket,2024-11-08 05:52:09
53,Lima & Nascimento Distribuidora Mercearia,Cuiabá,PA,grocery,2024-04-29 14:03:32
54,Silva & Costa Grupo Mercearia,Campo Grande,MS,grocery,2023-02-27 07:41:57
55,Costa & Santos Mercado Supermercado,Rio de Janeiro,DF,supermarket,2024-06-26 08:28:25
56,Ferreira & Rodrigues Distribuidora Mercado,Rio de Janeiro,MT,grocery,2024-08-19 02:27:47
57,Costa & Rodrigues Comércio Mercado,João Pessoa,SP,grocery,2023-05-29 13:35:41
58,Oliveira & Almeida Atacado Mercearia,Fortaleza,RN,grocery,2023-11-25 00:01:34
59,Almeida & Rodrigues Brasil Mercado,Salvador,MG,grocery,2024-09-16 08:06:53
60,Nascimento & Lima Mercado Supermercado,Campo Grande,DF,minimarket,2024-06-20 06:11:25
61,Santos & Lima Brasil Supermercado,Belém,RS,grocery,2023-04-03 22:19:12
62,Rodrigues & Nascimento Grupo Mercado,Curitiba,RS,convenience,2023-04-03 01:11:22
63,Silva & Rodrigues Mercado Supermercado,São Paulo,PB,grocery,2023-07-26 10:29:36
64,Rodrigues & Souza Mercado Mercado,Recife,RN,supermarket,2024-04-16 03:51:51
65,Costa & Lima Atacado Mercearia,Cuiabá,AM,convenience,2024-02-28 01:50:36
66,Silva & Almeida Suprimentos Supermercado,Cuiabá,MG,minimarket,2024-04-23 04:19:25
67,Souza & Ferreira Brasil Mercearia,Curitiba,GO,convenience,2024-06-05 14:05:52
68,Souza & Rodrigues Brasil Mercado,Goiânia,ES,convenience,2024-04-02 19:48:15
69,Silva & Santos Atacado Supermercado,Porto Alegre,SP,convenience,2024-08-25 01:50:34
70,Ferreira & Souza Atacado Mercearia,Salvador,ES,supermarket,2023-12-23 17:34:41
71,Nascimento & Costa Brasil Mercearia,Vitória,RJ,supermarket,2024-03-26 15:04:48
72,Almeida & Costa Grupo Mercearia,Campo Grande,RS,supermarket,2024-08-24 08:57:41
73,Almeida & Costa Mercado Mercearia,Belo Horizonte,SC,minimarket,2023-05-07 04:07:17
74,Rodrigues & Lima Atacado Mercado,Recife,SP,supermarket,2024-11-21 08:19:02
75,Souza & Santos Suprimentos Mercado,Natal,RN,supermarket,2024-03-17 22:05:32
76,Santos & Almeida Comércio Supermercado,Vitória,GO,convenience,2024-10-13 23:37:47
77,Souza & Rodrigues Atacado Mercearia,Florianópolis,SP,supermarket,2023-03-13 22:45:09
78,Nascimento & Almeida Atacado Supermercado,Fortaleza,PR,grocery,2024-05-18 13:12:06
79,Souza & Lima Suprimentos Mercado,João Pessoa,MS,supermarket,2024-02-03 20:51:13
80,Oliveira & Lima Alimentos Mercearia,Curitiba,SC,minimarket,2024-06-28 00:20:12
81,Almeida & Oliveira Atacado Supermercado,Manaus,GO,minimarket,2024-03-15 08:25:14
82,Silva & Almeida Atacado Mercearia,Cuiabá,MT,grocery,2024-03-12 03:45:57
83,Oliveira & Rodrigues Distribuidora Supermercado,São Paulo,MS,minimarket,2024-01-10 13:09:37
84,Nascimento & Lima Brasil Mercado,São Paulo,MG,minimarket,2023-10-06 04:10:40
85,Rodrigues & Costa Comércio Supermercado,Campo Grande,PA,convenience,2023-08-30 01:55:46
86,Lima & Rodrigues Distribuidora Supermercado,Rio de Janeiro,MS,grocery,2023-07-03 11:30:11
87,Ferreira & Rodrigues Distribuidora Mercearia,Natal,AM,convenience,2024-11-12 08:20:10
88,Silva & Oliveira Comércio Mercearia,Recife,CE,convenience,2024-04-23 19:19:13
89,Lima & Santos Suprimentos Supermercado,Vitória,RS,supermarket,2023-09-17 15:07:59
90,Almeida & Ferreira Suprimentos Mercearia,São Paulo,PA,grocery,2023-08-10 13:01:48
91,Ferreira & Rodrigues Brasil Mercado,Natal,RJ,supermarket,2023-10-15 07:07:23
92,Nascimento & Ferreira Atacado Mercearia,Goiânia,PR,supermarket,2023-08-09 19:12:55
93,Nascimento & Silva Distribuidora Supermercado,Curitiba,GO,convenience,2024-10-14 14:33:01
94,Souza & Lima Distribuidora Supermercado,Belo Horizonte,BA,minimarket,2024-09-20 05:54:37
95,Souza & Oliveira Distribuidora Supermercado,Cuiabá,ES,grocery,2023-11-10 03:30:57
96,Silva & Ferreira Brasil Mercearia,Natal,MG,minimarket,2023-07-31 08:06:52
97,Nascimento & Rodrigues Atacado Supermercado,Curitiba,PB,convenience,2024-01-22 01:07:21
98,Souza & Lima Atacado Mercearia,Brasília,MS,convenience,2023-10-04 12:36:09
99,Rodrigues & Santos Suprimentos Mercado,Curitiba,PB,convenience,2024-09-05 03:14:25
100,Nascimento & Souza Grupo Supermercado,Campo Grande,MS,convenience,2023-05-02 15:31:38
101,Almeida & Souza Comércio Mercado,João Pessoa,GO,convenience,2024-07-24 07:49:10
102,Oliveira & Santos Alimentos Supermercado,Brasília,SP,convenience,2023-08-08 05:25:55
103,Lima & Nascimento Atacado Mercado,Curitiba,RN,minimarket,2024-01-13 15:32:26
104,Santos & Rodrigues Atacado Mercearia,Cuiabá,PA,supermarket,2024-08-24 04:21:03
105,Ferreira & Lima Brasil Mercado,Natal,AM,minimarket,2023-12-17 09:34:15
106,Santos & Nascimento Alimentos Mercado,Natal,PR,grocery,2023-11-10 01:57:13
107,Costa & Nascimento Atacado Supermercado,Goiânia,PA,minimarket,2023-04-04 21:31:50
108,Santos & Souza Alimentos Mercearia,Porto Alegre,RN,convenience,2023-11-02 09:28:07
109,Lima & Nascimento Alimentos Supermercado,São Paulo,SC,minimarket,2024-04-12 07:40:41
110,Rodrigues & Almeida Brasil Mercado,Curitiba,SP,supermarket,2024-02-29 17:52:37
111,Oliveira & Nascimento Grupo Mercearia,Fortaleza,PR,grocery,2023-04-02 09:00:54
112,Rodrigues & Santos Brasil Mercado,Curitiba,ES,minimarket,2023-11-10 09:42:19
113,Ferreira & Costa Mercado Mercearia,Porto Alegre,PR,supermarket,2024-06-23 10:57:09
114,Santos & Oliveira Mercado Mercado,Rio de Janeiro,SP,minimarket,2024-02-13 01:17:39
115,Rodrigues & Lima Grupo Mercearia,Fortaleza,PB,grocery,2024-05-17 02:05:31
116,Silva & Rodrigues Distribuidora Mercado,São Paulo,MS,minimarket,2023-07-30 22:01:55
117,Lima & Costa Distribuidora Mercado,Curitiba,PE,convenience,2024-01-16 17:22:13
118,Almeida & Silva Brasil Mercado,Vitória,PR,minimarket,2024-10-04 17:46:17
119,Silva & Souza Mercado Mercearia,Porto Alegre,RJ,supermarket,2023-12-24 07:56:03
120,Rodrigues & Rodrigues Alimentos Supermercado,Natal,DF,minimarket,2023-07-30 11:05:54
121,Lima & Almeida Comércio Mercado,Natal,BA,supermarket,2024-04-19 05:18:31
122,Rodrigues & Rodrigues Distribuidora Supermercado,Rio de Janeiro,RS,grocery,2024-11-05 23:42:13
123,Nascimento & Souza Comércio Mercado,João Pessoa,SP,minimarket,2024-11-05 04:22:09
124,Almeida & Silva Grupo Supermercado,Cuiabá,MT,grocery,2023-05-10 07:24:42
125,Souza & Santos Brasil Supermercado,Florianópolis,BA,grocery,2024-03-25 13:53:12
126,Oliveira & Rodrigues Atacado Mercearia,Belo Horizonte,DF,minimarket,2023-08-11 06:05:08
127,Lima & Ferreira Brasil Mercado,São Paulo,ES,supermarket,2024-09-27 02:02:41
128,Souza & Rodrigues Comércio Mercado,São Paulo,PB,grocery,2023-12-15 14:32:23
129,Souza & Nascimento Comércio Supermercado,Belém,CE,grocery,2024-07-09 14:13:49
130,Lima & Ferreira Mercado Mercearia,Curitiba,PE,minimarket,2024-05-01 04:37:46
131,Lima & Silva Atacado Mercearia,Cuiabá,GO,minimarket,2024-07-03 05:19:30
132,Lima & Nascimento Brasil Supermercado,Belo Horizonte,CE,minimarket,2023-05-20 07:07:08
133,Rodrigues & Almeida Brasil Mercado,São Paulo,RN,minimarket,2024-05-17 08:11:21
134,Costa & Almeida Grupo Mercado,São Paulo,RJ,minimarket,2023-08-23 03:57:04
135,Costa & Souza Suprimentos Mercearia,Recife,SC,convenience,2024-10-12 03:49:48
136,Ferreira & Souza Grupo Supermercado,Fortaleza,PR,minimarket,2023-09-12 19:55:39
137,Costa & Rodrigues Grupo Mercado,Belém,PE,supermarket,2023-10-25 07:21:35
138,Oliveira & Rodrigues Alimentos Supermercado,Cuiabá,PR,grocery,2023-10-03 18:28:57
139,Almeida & Nascimento Mercado Supermercado,Vitória,PB,supermarket,2023-05-04 15:00:31
140,Rodrigues & Santos Brasil Supermercado,Cuiabá,PE,supermarket,2023-04-06 07:22:52
141,Oliveira & Ferreira Comércio Supermercado,Brasília,RN,convenience,2023-12-16 07:02:38
142,Rodrigues & Lima Mercado Mercearia,Rio de Janeiro,RN,minimarket,2023-12-26 00:25:47
143,Ferreira & Santos Mercado Mercearia,Florianópolis,PA,grocery,2024-02-29 06:21:56
144,Almeida & Ferreira Mercado Mercearia,Belo Horizonte,BA,supermarket,2023-05-28 06:20:59
145,Rodrigues & Almeida Alimentos Mercearia,João Pessoa,MG,minimarket,2024-04-24 09:38:14
146,Santos & Souza Atacado Supermercado,Recife,CE,minimarket,2024-02-20 20:33:36
147,Santos & Ferreira Distribuidora Mercearia,Fortaleza,RJ,convenience,2024-06-07 09:04:24
148,Santos & Rodrigues Comércio Mercearia,Rio de Janeiro,MG,convenience,2024-09-24 03:08:46
149,Lima & Silva Alimentos Mercado,Manaus,MS,convenience,2023-07-05 20:55:48
150,Silva & Lima Mercado Mercado,Goiânia,RJ,grocery,2023-06-21 17:52:18
151,Ferreira & Oliveira Suprimentos Mercearia,Porto Alegre,CE,supermarket,2024-01-20 16:27:44
152,Ferreira & Nascimento Comércio Supermercado,Florianópolis,SC,convenience,2023-02-14 01:10:09
153,Oliveira & Santos Grupo Mercearia,Vitória,AM,convenience,2023-06-11 12:50:08
154,Souza & Rodrigues Comércio Supermercado,Belém,BA,convenience,2023-05-06 19:40:02
155,Rodrigues & Lima Brasil Mercado,Porto Alegre,DF,supermarket,2023-12-24 03:44:48
156,Silva & Rodrigues Atacado Mercearia,Porto Alegre,SC,supermarket,2023-08-25 13:41:12
157,Almeida & Oliveira Distribuidora Mercado,Fortaleza,PE,convenience,2024-09-18 14:07:56
158,Costa & Nascimento Atacado Mercearia,Curitiba,PA,convenience,2024-04-07 18:05:51
159,Ferreira & Lima Brasil Mercado,Manaus,MG,minimarket,2024-08-07 13:07:09
160,Souza & Ferreira Brasil Supermercado,Belo Horizonte,DF,convenience,2024-02-01 22:49:48
161,Souza & Ferreira Mercado Mercearia,João Pessoa,RJ,grocery,2024-08-31 23:48:07
162,Lima & Lima Alimentos Mercearia,Belo Horizonte,RJ,grocery,2023-04-21 10:41:24
163,Ferreira & Lima Alimentos Mercearia,Natal,MG,convenience,2023-05-11 04:13:42
164,Silva & Nascimento Brasil Mercado,Porto Alegre,SC,supermarket,2023-02-28 11:12:59
165,Souza & Nascimento Mercado Supermercado,Florianópolis,DF,minimarket,2024-11-10 16:15:00
166,Souza & Nascimento Atacado Mercearia,João Pessoa,CE,supermarket,2024-01-03 02:14:57
167,Oliveira & Santos Alimentos Mercado,Goiânia,PE,convenience,2023-02-20 14:06:53
168,Rodrigues & Silva Mercado Mercearia,Curitiba,SP,grocery,2024-07-21 23:24:01
169,Oliveira & Santos Atacado Mercado,Cuiabá,MS,minimarket,2023-06-11 15:54:20
170,Ferreira & Oliveira Suprimentos Supermercado,João Pessoa,SC,supermarket,2023-03-30 17:05:34
171,Almeida & Costa Atacado Supermercado,Vitória,PE,supermarket,2023-05-15 19:42:00
172,Lima & Rodrigues Atacado Mercearia,Belo Horizonte,RS,convenience,2024-03-07 22:22:38
173,Costa & Santos Brasil Supermercado,Manaus,RJ,minimarket,2024-03-19 03:02:51
173,Costa & Santos Brasilis Supermercado,Manaus,RJ,minimarket,2024-03-19 03:02:52
174,Oliveira & Souza Grupo Mercearia,João Pessoa,RS,grocery,2023-11-30 10:58:18
175,Costa & Santos Grupo Supermercado,João Pessoa,SP,convenience,2023-12-27 01:20:11
176,Lima & Almeida Distribuidora Mercado,Natal,CE,minimarket,2023-11-04 05:53:38
177,Costa & Lima Grupo Mercearia,Vitória,DF,supermarket,2023-05-11 23:53:45
178,Costa & Santos Suprimentos Mercado,João Pessoa,MS,convenience,2023-12-11 11:44:30
179,Silva & Nascimento Mercado Mercearia,Porto Alegre,RS,supermarket,2024-07-27 07:41:33
180,Souza & Santos Brasil Mercearia,Cuiabá,RJ,supermarket,2024-04-09 14:07:43
181,Lima & Ferreira Distribuidora Supermercado,Manaus,MT,convenience,2023-08-08 12:40:22
182,Silva & Silva Atacado Mercado,Cuiabá,SP,convenience,2024-08-08 00:20:04
183,Santos & Santos Suprimentos Mercearia,Manaus,RN,convenience,2023-09-17 21:13:16
184,Oliveira & Ferreira Brasil Mercado,Goiânia,MT,convenience,2023-05-05 10:52:24
185,Almeida & Ferreira Comércio Mercado,Brasília,RS,convenience,2023-10-21 14:33:41
186,Santos & Rodrigues Grupo Mercado,Campo Grande,BA,supermarket,2024-11-03 13:48:45
187,Silva & Costa Suprimentos Mercado,Natal,RN,grocery,2023-10-21 11:26:00
188,Rodrigues & Souza Mercado Supermercado,Curitiba,PE,grocery,2024-05-06 09:56:56
189,Costa & Almeida Mercado Supermercado,Belo Horizonte,RS,convenience,2024-05-19 20:03:40
190,Ferreira & Lima Suprimentos Supermercado,Cuiabá,SP,supermarket,2024-05-25 22:48:31
191,Rodrigues & Santos Suprimentos Mercearia,Porto Alegre,CE,grocery,2023-04-26 17:00:42
192,Nascimento & Silva Alimentos Mercado,Natal,RS,grocery,2024-08-15 22:24:11
193,Souza & Oliveira Suprimentos Supermercado,Goiânia,PE,grocery,2023-03-09 03:17:30
194,Almeida & Souza Suprimentos Supermercado,Vitória,MT,supermarket,2023-03-31 06:50:49
195,Costa & Oliveira Alimentos Mercado,Fortaleza,ES,convenience,2024-08-28 19:16:07
196,Oliveira & Oliveira Atacado Supermercado,Goiânia,CE,convenience,2023-11-04 16:53:23
197,Santos & Silva Comércio Supermercado,Brasília,SC,convenience,2024-01-16 16:00:56
198,Costa & Souza Mercado Supermercado,Curitiba,MS,minimarket,2023-12-16 13:58:38
199,Oliveira & Lima Alimentos Supermercado,Belo Horizonte,SC,minimarket,2024-06-05 23:33:38
200,Ferreira & Almeida Distribuidora Mercearia,Belém,RN,minimarket,2024-01-17 08:01:00
201,Santos & Rodrigues Brasil Mercado,Belém,CE,supermarket,2024-08-30 07:36:06
202,Almeida & Nascimento Distribuidora Mercado,Florianópolis,PB,grocery,2024-11-11 09:53:13
203,Almeida & Souza Alimentos Mercearia,Campo Grande,PB,grocery,2024-01-06 09:51:10
204,Almeida & Lima Brasil Mercearia,Cuiabá,MG,supermarket,2023-09-14 16:46:39
205,Silva & Silva Brasil Mercado,Manaus,DF,supermarket,2024-09-12 11:48:26
206,Ferreira & Santos Brasil Mercearia,Fortaleza,DF,convenience,2024-02-07 13:54:04
207,Rodrigues & Santos Distribuidora Mercado,Cuiabá,RS,convenience,2024-07-29 19:03:54
208,Nascimento & Oliveira Distribuidora Supermercado,João Pessoa,PE,minimarket,2023-05-17 13:13:44
209,Lima & Nascimento Mercado Mercado,Salvador,RN,minimarket,2024-08-24 16:22:15
210,Nascimento & Almeida Atacado Mercado,Goiânia,AM,supermarket,2023-06-24 11:46:13
211,Almeida & Nascimento Grupo Supermercado,Brasília,PE,minimarket,2024-08-17 02:53:05
212,Santos & Almeida Suprimentos Mercado,Vitória,CE,grocery,2024-09-18 22:26:57
213,Rodrigues & Souza Grupo Mercado,Recife,PB,supermarket,2024-05-04 22:09:36
214,Rodrigues & Ferreira Grupo Mercearia,Fortaleza,MT,supermarket,2024-10-30 23:53:06
215,Santos & Costa Grupo Mercado,Manaus,GO,grocery,2024-03-03 15:25:09
216,Lima & Costa Comércio Mercearia,Florianópolis,BA,convenience,2023-04-08 01:56:57
217,Rodrigues & Santos Distribuidora Supermercado,Rio de Janeiro,RN,convenience,2023-05-31 06:15:53
218,Santos & Ferreira Distribuidora Mercearia,Curitiba,DF,grocery,2023-02-08 01:05:58
219,Costa & Oliveira Alimentos Mercearia,Curitiba,DF,grocery,2024-05-08 00:38:06
220,Almeida & Almeida Mercado Mercearia,Salvador,SP,minimarket,2024-05-07 15:13:16
221,Santos & Ferreira Mercado Mercearia,Recife,ES,supermarket,2023-11-16 06:56:57
222,Ferreira & Silva Atacado Mercearia,Natal,PR,minimarket,2024-07-09 10:32:19
223,Lima & Costa Distribuidora Mercearia,Vitória,AM,grocery,2024-06-20 09:46:55
224,Almeida & Souza Comércio Mercearia,São Paulo,MS,minimarket,2024-01-20 06:21:32
225,Rodrigues & Souza Distribuidora Mercado,João Pessoa,RJ,grocery,2023-11-23 16:03:17
226,Almeida & Costa Distribuidora Mercado,Goiânia,GO,minimarket,2023-10-08 21:22:34
227,Nascimento & Souza Grupo Mercearia,Vitória,AM,minimarket,2024-01-08 15:51:18
228,Nascimento & Nascimento Alimentos Mercearia,Porto Alegre,PB,convenience,2023-06-19 06:20:30
229,Lima & Silva Comércio Mercado,Porto Alegre,MG,grocery,2024-03-03 02:14:37
230,Lima & Costa Mercado Supermercado,Salvador,SP,minimarket,2024-08-16 04:59:41
231,Oliveira & Oliveira Grupo Supermercado,Cuiabá,AM,supermarket,2024-05-03 18:37:19
232,Oliveira & Silva Distribuidora Mercearia,Goiânia,MS,minimarket,2023-09-06 22:31:17
233,Almeida & Souza Grupo Mercado,Fortaleza,PB,minimarket,2024-09-24 09:52:56
234,Rodrigues & Costa Comércio Mercado,Goiânia,MS,supermarket,2023-04-18 06:19:15
235,Lima & Costa Distribuidora Supermercado,Belo Horizonte,CE,grocery,2023-08-01 09:42:22
236,Oliveira & Oliveira Alimentos Mercearia,Vitória,PB,convenience,2023-09-20 22:58:42
237,Santos & Lima Brasil Mercearia,Vitória,SC,convenience,2024-02-20 03:39:24
238,Ferreira & Rodrigues Brasil Mercado,Florianópolis,RS,convenience,2023-10-24 22:53:08
239,Lima & Souza Distribuidora Mercado,Recife,MT,supermarket,2023-03-11 12:09:09
240,Ferreira & Santos Atacado Mercearia,Manaus,ES,minimarket,2024-04-15 04:10:13
241,Nascimento & Rodrigues Atacado Supermercado,Goiânia,MG,grocery,2024-03-10 02:12:38
242,Souza & Ferreira Alimentos Supermercado,São Paulo,CE,minimarket,2024-03-15 22:19:08
243,Souza & Lima Suprimentos Supermercado,Belo Horizonte,SC,convenience,2024-04-27 08:46:52
244,Lima & Lima Mercado Supermercado,Vitória,SP,minimarket,2024-03-02 18:03:16
245,Silva & Rodrigues Grupo Supermercado,João Pessoa,ES,supermarket,2024-11-18 14:31:11
246,Oliveira & Ferreira Suprimentos Mercearia,São Paulo,GO,supermarket,2023-12-30 10:04:09
247,Almeida & Costa Distribuidora Mercado,Salvador,ES,grocery,2023-09-11 13:34:46
248,Silva & Ferreira Alimentos Mercado,Salvador,CE,grocery,2023-10-10 17:25:46
249,Santos & Costa Grupo Mercearia,Cuiabá,RN,convenience,2023-11-27 07:32:30
250,Ferreira & Ferreira Atacado Supermercado,Vitória,PE,grocery,2023-10-07 10:43:47
251,Ferreira & Silva Mercado Supermercado,Vitória,SC,minimarket,2024-09-12 05:05:57
252,Nascimento & Rodrigues Mercado Supermercado,Campo Grande,AM,supermarket,2023-06-20 13:54:42
253,Ferreira & Santos Suprimentos Mercado,Natal,BA,supermarket,2023-05-24 05:22:38
254,Nascimento & Ferreira Distribuidora Mercado,Belém,RN,supermarket,2023-03-06 13:42:51
255,Lima & Costa Suprimentos Mercado,Curitiba,SP,grocery,2024-10-26 05:49:14
256,Oliveira & Santos Distribuidora Mercearia,Porto Alegre,PR,supermarket,2024-08-25 14:24:59
257,Almeida & Souza Mercado Mercado,Belo Horizonte,PE,supermarket,2024-08-22 18:32:45
258,Oliveira & Souza Distribuidora Supermercado,Florianópolis,PB,supermarket,2023-07-15 15:22:21
259,Lima & Souza Comércio Mercearia,Campo Grande,RJ,convenience,2024-01-02 09:48:12
260,Oliveira & Santos Comércio Mercearia,Manaus,AM,convenience,2024-03-11 05:22:38
261,Rodrigues & Rodrigues Brasil Mercearia,João Pessoa,SC,grocery,2023-09-06 03:04:19
262,Nascimento & Nascimento Mercado Mercearia,Brasília,GO,supermarket,2024-04-23 17:20:45
263,Costa & Oliveira Brasil Supermercado,Campo Grande,RS,grocery,2024-05-25 01:19:55
264,Rodrigues & Rodrigues Atacado Mercado,São Paulo,PB,supermarket,2023-10-04 04:13:58
265,Nascimento & Silva Mercado Mercearia,Belo Horizonte,AM,supermarket,2023-04-20 06:11:26
266,Santos & Lima Brasil Mercado,Natal,PR,supermarket,2023-10-29 18:59:29
267,Silva & Silva Mercado Mercado,Belém,DF,grocery,2023-09-11 04:53:17
268,Santos & Santos Grupo Mercado,Cuiabá,PB,grocery,2023-06-10 14:52:07
269,Nascimento & Almeida Alimentos Mercado,Fortaleza,RJ,supermarket,2023-05-05 01:57:08
270,Nascimento & Souza Mercado Mercearia,Natal,AM,minimarket,2023-09-13 13:47:07
271,Rodrigues & Almeida Comércio Supermercado,Recife,MT,grocery,2023-09-02 16:54:21
272,Rodrigues & Santos Mercado Mercearia,Salvador,RS,convenience,2024-02-14 23:32:50
273,Santos & Almeida Comércio Supermercado,Cuiabá,BA,grocery,2024-01-08 22:00:04
274,Souza & Rodrigues Brasil Mercearia,Recife,AM,supermarket,2023-07-25 16:49:40
275,Almeida & Nascimento Comércio Mercado,Porto Alegre,RS,minimarket,2023-06-13 12:22:04
276,Costa & Lima Grupo Mercado,Recife,DF,supermarket,2023-09-14 01:38:05
277,Costa & Nascimento Alimentos Mercearia,Florianópolis,SP,convenience,2023-08-22 12:06:26
278,Costa & Santos Mercado Supermercado,Curitiba,MG,grocery,2024-05-17 19:49:52
279,Almeida & Ferreira Atacado Mercado,Manaus,ES,grocery,2024-09-09 05:40:35
280,Nascimento & Oliveira Mercado Supermercado,Porto Alegre,SC,supermarket,2023-04-25 10:12:35
281,Nascimento & Oliveira Mercado Mercado,João Pessoa,PB,supermarket,2023-07-31 22:43:38
282,Ferreira & Oliveira Distribuidora Mercado,Manaus,SP,convenience,2024-07-03 15:13:22
283,Almeida & Ferreira Mercado Supermercado,São Paulo,SC,minimarket,2023-09-06 10:00:56
284,Almeida & Santos Grupo Mercearia,Vitória,SC,convenience,2023-05-22 12:29:19
285,Costa & Silva Mercado Mercado,Natal,MS,minimarket,2023-04-17 13:07:21
286,Oliveira & Souza Mercado Mercado,Vitória,PR,grocery,2023-07-12 15:50:06
287,Souza & Souza Comércio Supermercado,Brasília,RN,minimarket,2024-04-05 21:04:21
288,Santos & Lima Distribuidora Mercearia,Belo Horizonte,CE,minimarket,2024-11-14 12:10:43
